"SMPT_NORTHING","SMPT_EASTING","SMPT","DATE_TIME","MEAS_RESULT","MEAS_DETERMINAND_CODE","MEAS_SIGN","SAMP_ID"
179153,336015,"EST OFF NEWPORT",2015-07-02 08:27:00,0.01,"0714","<",4623058
179153,336015,"EST OFF NEWPORT",2015-07-02 08:27:00,0.01,"0731","<",4623058
179153,336015,"EST OFF NEWPORT",2015-07-02 08:27:00,0.01,"0733","<",4623058
179153,336015,"EST OFF NEWPORT",2015-05-22 11:07:00,0.01,"6399","<",4619251
179153,336015,"EST OFF NEWPORT",2015-07-02 08:27:00,0.01,"6399","<",4623058
179153,336015,"EST OFF NEWPORT",2016-09-22 11:57:00,1e-04,"0714","<",4659604
179153,336015,"EST OFF NEWPORT",2016-09-22 11:57:00,0.00013,"0731",NA,4659604
179153,336015,"EST OFF NEWPORT",2016-09-22 11:57:00,1e-04,"0733","<",4659604
179153,336015,"EST OFF NEWPORT",2016-09-22 11:57:00,1e-04,"6399","<",4659604
179153,336015,"EST OFF NEWPORT",2015-11-02 11:01:00,0.002,"0714",">",4633359
179153,336015,"EST OFF NEWPORT",2015-11-02 11:01:00,0.002,"0731",">",4633359
179153,336015,"EST OFF NEWPORT",2015-11-02 11:01:00,0.002,"0733",">",4633359
179153,336015,"EST OFF NEWPORT",2015-11-02 11:01:00,0.002,"6399",">",4633359
179153,336015,"EST OFF NEWPORT",2016-02-25 09:02:00,0.0147,"0733",NA,4642671
179153,336015,"EST OFF NEWPORT",2016-01-23 16:18:00,0.001,"0733","<",4640194
179153,336015,"EST OFF NEWPORT",2016-02-25 09:02:00,0.0291,"6399",NA,4642671
179153,336015,"EST OFF NEWPORT",2016-02-25 09:02:00,0.0356,"0714",NA,4642671
179153,336015,"EST OFF NEWPORT",2016-02-25 09:02:00,0.0307,"0731",NA,4642671
179153,336015,"EST OFF NEWPORT",2016-01-23 16:18:00,0.001,"6399","<",4640194
179153,336015,"EST OFF NEWPORT",2016-01-23 16:18:00,0.001,"0714","<",4640194
179153,336015,"EST OFF NEWPORT",2016-01-23 16:18:00,0.001,"0731","<",4640194
179153,336015,"EST OFF NEWPORT",2016-05-11 11:45:00,0.0299,"0714",NA,4648176
179153,336015,"EST OFF NEWPORT",2016-05-11 11:45:00,0.0349,"0731",NA,4648176
179153,336015,"EST OFF NEWPORT",2016-05-11 11:45:00,0.0167,"0733",NA,4648176
179153,336015,"EST OFF NEWPORT",2016-05-11 11:45:00,0.032,"6399",NA,4648176
179153,336015,"EST OFF NEWPORT",2015-09-12 09:05:00,0.01,"0714","<",4629339
179153,336015,"EST OFF NEWPORT",2015-09-12 09:05:00,0.01,"0731","<",4629339
179153,336015,"EST OFF NEWPORT",2015-09-12 09:05:00,0.01,"0733","<",4629339
179153,336015,"EST OFF NEWPORT",2015-09-12 09:05:00,0.01,"6399","<",4629339
179153,336015,"EST OFF NEWPORT",2016-04-13 12:40:00,0.00323,"0714",NA,4646014
179153,336015,"EST OFF NEWPORT",2016-04-13 12:40:00,0.00352,"0731",NA,4646014
179153,336015,"EST OFF NEWPORT",2016-04-13 12:40:00,0.00152,"0733",NA,4646014
179153,336015,"EST OFF NEWPORT",2016-04-13 12:40:00,0.00309,"6399",NA,4646014
179153,336015,"EST OFF NEWPORT",2016-12-15 09:04:00,0.00028,"0714",NA,4667522
179153,336015,"EST OFF NEWPORT",2016-12-15 09:04:00,0.00032,"0731",NA,4667522
179153,336015,"EST OFF NEWPORT",2016-12-15 09:04:00,0.00013,"0733",NA,4667522
179153,336015,"EST OFF NEWPORT",2016-12-15 09:04:00,0.00024,"6399",NA,4667522
179153,336015,"EST OFF NEWPORT",2016-06-09 11:14:00,0.00012,"0714",NA,4650570
179153,336015,"EST OFF NEWPORT",2016-06-09 11:14:00,0.00017,"0731",NA,4650570
179153,336015,"EST OFF NEWPORT",2016-06-09 11:14:00,1e-04,"0733","<",4650570
179153,336015,"EST OFF NEWPORT",2016-06-09 11:14:00,1e-04,"6399","<",4650570
179153,336015,"EST OFF NEWPORT",2017-02-15 10:13:00,0.0448,"0714",NA,4671958
179153,336015,"EST OFF NEWPORT",2017-02-15 10:13:00,0.0461,"0731",NA,4671958
179153,336015,"EST OFF NEWPORT",2017-02-15 10:13:00,0.0231,"0733",NA,4671958
179153,336015,"EST OFF NEWPORT",2017-02-15 10:13:00,0.0496,"6399",NA,4671958
188169,352463,"T CHARSTON RCKS",2016-07-20 10:40:00,0.05,"0714",">",4654886
188169,352463,"T CHARSTON RCKS",2016-07-20 10:40:00,0.05,"0731",">",4654886
188169,352463,"T CHARSTON RCKS",2016-07-20 10:40:00,0.0432,"0733",NA,4654886
